Journeyid,custid,productid,Visitdate,Stage,Action,Duration
592,53,14,20-03-2023,ProductPage,Click,250
593,68,11,20-01-2024,Checkout,Purchase,201
594,55,1,27-05-2025,Homepage,Click,88
595,100,8,17-04-2025,homepage,Click,95
596,54,20,16-03-2024,ProductPage,Click,18
597,69,16,24-03-2025,productpage,Click,280
598,68,1,26-09-2025,Homepage,View,135
599,80,16,12-11-2025,homepage,View,229
600,21,11,16-03-2023,Homepage,View,123
601,67,1,01-01-2024,ProductPage,View,15
602,13,13,05-11-2024,Homepage,View,98
603,59,7,14-05-2025,Homepage,View,214
604,45,16,30-07-2025,productpage,View,261
605,91,4,27-07-2025,ProductPage,View,252
606,74,3,26-04-2023,ProductPage,View,108
607,38,18,10-12-2023,Checkout,Drop-off,NULL
608,74,3,10-12-2024,ProductPage,View,201
609,36,14,23-12-2023,ProductPage,View,117
610,13,6,24-02-2023,Checkout,Drop-off,NULL
611,11,13,30-08-2025,ProductPage,View,196
612,75,4,26-05-2025,ProductPage,View,106
613,10,7,17-10-2023,Homepage,View,245
614,52,3,10-10-2025,Homepage,Click,170
615,44,11,28-11-2025,Homepage,Click,245
616,64,16,07-03-2023,Checkout,Purchase,214
617,69,8,21-08-2024,ProductPage,View,228
618,34,20,07-10-2024,Homepage,View,103
619,23,10,21-03-2023,ProductPage,View,300
620,99,1,05-07-2024,ProductPage,View,226
621,66,8,11-08-2023,Homepage,View,137
622,72,8,19-07-2023,Homepage,View,169
623,58,20,23-01-2024,ProductPage,View,184
624,46,17,17-02-2024,Homepage,View,33
625,57,1,15-06-2023,ProductPage,View,198
626,75,10,16-09-2023,Checkout,Drop-off,NULL
627,94,7,09-09-2024,ProductPage,View,271
628,38,3,08-02-2024,Checkout,Drop-off,NULL
629,96,2,09-10-2025,ProductPage,View,196
630,63,7,14-03-2025,Homepage,Click,134
631,30,4,28-09-2025,Homepage,View,221
632,53,3,11-07-2024,Homepage,View,227
633,30,3,26-02-2023,Checkout,Drop-off,NULL
634,84,5,20-12-2025,homepage,Click,198
635,87,1,16-04-2025,Checkout,Purchase,93
636,18,12,19-07-2023,Checkout,Drop-off,NULL
637,12,20,26-08-2024,Homepage,View,122
638,46,11,27-01-2023,Homepage,Click,244
639,31,7,21-06-2024,ProductPage,Click,283
640,61,15,12-11-2024,ProductPage,Click,255
641,88,3,15-12-2023,Homepage,Click,61
642,16,15,16-11-2025,ProductPage,Click,248
643,59,16,15-02-2023,ProductPage,Click,136
644,67,10,05-05-2024,Homepage,Click,95
645,76,2,19-06-2023,Checkout,Purchase,108
646,68,20,04-11-2025,Homepage,View,62
647,15,2,22-09-2024,Homepage,View,96
648,93,20,13-01-2025,homepage,View,205
649,63,16,12-12-2025,Homepage,View,24
650,10,8,17-06-2025,Homepage,View,257
651,97,13,07-06-2024,ProductPage,View,13
652,95,9,31-03-2023,Homepage,Click,175
653,18,16,19-04-2024,productpage,Click,147
654,56,17,12-03-2024,ProductPage,Click,267
655,74,5,11-02-2024,ProductPage,Click,194
656,84,2,31-10-2025,ProductPage,Drop-off,NULL
657,55,13,08-04-2023,ProductPage,View,105
658,92,9,01-07-2023,ProductPage,View,29
659,70,17,20-05-2025,Checkout,Drop-off,NULL
660,38,4,29-01-2024,Homepage,View,172
661,68,12,26-04-2025,ProductPage,View,149
662,73,6,26-04-2023,ProductPage,View,195
663,72,6,16-06-2025,Checkout,Drop-off,NULL
664,41,18,30-01-2025,ProductPage,View,59
665,64,19,24-03-2025,Homepage,View,114
666,67,13,24-03-2025,Homepage,View,172
667,55,1,28-01-2023,ProductPage,View,204
668,92,3,19-04-2023,checkout,Drop-off,NULL
669,52,5,01-03-2023,Homepage,View,173
670,15,18,28-02-2024,productpage,View,88
671,13,8,12-12-2023,homepage,View,263
672,23,11,15-06-2024,Homepage,Click,26
673,80,1,02-04-2023,Homepage,View,169
674,90,12,03-06-2024,Homepage,Click,83
675,35,4,03-01-2024,Homepage,View,268
676,67,8,15-01-2023,ProductPage,View,91
677,83,8,23-12-2025,Homepage,Click,262
678,48,19,30-08-2025,Homepage,Click,161
679,97,14,19-08-2023,Checkout,Purchase,156
680,86,13,03-10-2023,Checkout,Drop-off,NULL
681,81,16,15-01-2023,Homepage,Click,290
682,5,4,20-04-2023,ProductPage,Click,127
683,35,19,28-04-2024,Homepage,View,221
684,61,2,27-05-2023,Checkout,Drop-off,NULL
685,1,12,11-07-2023,Homepage,View,22
686,68,4,29-07-2024,Homepage,View,90
687,90,6,24-09-2023,Homepage,View,10
688,18,7,06-05-2025,Homepage,View,23
689,23,5,09-01-2024,Checkout,Drop-off,NULL
690,47,20,29-01-2023,Checkout,Drop-off,NULL
691,42,1,29-04-2025,ProductPage,View,196
692,20,8,19-04-2023,ProductPage,View,16
693,98,16,27-04-2025,ProductPage,View,242
694,83,10,03-10-2025,ProductPage,View,138
695,37,3,31-08-2025,Homepage,View,268
696,61,16,19-04-2023,ProductPage,View,179
697,44,15,09-09-2024,Checkout,Drop-off,NULL
698,75,5,19-01-2025,ProductPage,View,287
699,39,15,31-01-2024,Homepage,View,168
700,77,20,21-09-2023,Checkout,Drop-off,NULL
701,60,1,05-12-2024,ProductPage,View,163
702,13,2,28-01-2023,ProductPage,View,161
703,60,16,30-08-2023,Homepage,View,23
704,14,13,24-08-2023,Checkout,Drop-off,NULL
705,26,2,01-01-2025,ProductPage,View,124
706,96,1,18-05-2025,Homepage,View,98
707,69,4,29-02-2024,Homepage,Click,199
708,63,16,24-11-2023,Homepage,Click,145
709,6,13,28-04-2024,Homepage,Click,196
710,82,19,28-07-2024,Homepage,View,252
711,87,6,11-07-2023,ProductPage,View,108
712,56,17,06-09-2025,Homepage,Click,26
713,45,15,06-10-2025,Homepage,View,22
714,86,18,23-04-2024,ProductPage,View,183
715,87,4,03-07-2025,Homepage,View,69
716,93,6,29-06-2023,ProductPage,View,35
717,33,11,20-06-2023,Checkout,Drop-off,NULL
718,60,13,22-09-2023,Homepage,Click,179
719,91,18,18-02-2024,Homepage,View,182
720,16,11,03-09-2023,Homepage,View,195
721,68,9,14-02-2024,ProductPage,View,163
722,48,6,04-08-2024,ProductPage,View,14
723,80,7,09-05-2024,Homepage,View,258
724,26,19,25-08-2024,Homepage,Click,286
725,58,16,28-04-2025,ProductPage,Click,45
726,32,2,03-12-2024,homepage,Click,118
727,48,19,15-02-2023,Homepage,View,98
728,29,19,12-09-2024,Homepage,View,159
729,59,13,21-01-2023,ProductPage,View,139
730,23,13,10-06-2023,Checkout,Drop-off,NULL
731,30,9,18-06-2023,productpage,View,49
732,68,16,12-03-2023,ProductPage,View,213
733,83,16,28-09-2023,ProductPage,View,262
734,73,12,28-01-2023,Homepage,View,175
735,73,17,17-08-2024,homepage,View,254
736,24,3,25-12-2024,ProductPage,View,226
737,46,14,05-09-2024,Checkout,Drop-off,NULL
738,73,3,16-11-2025,ProductPage,View,274
739,32,7,28-05-2023,Checkout,Drop-off,NULL
740,66,6,03-05-2025,Homepage,Click,16
741,49,1,04-11-2025,ProductPage,Click,35
742,8,9,04-06-2023,Homepage,View,79
743,20,17,07-04-2025,ProductPage,View,283
744,78,1,27-06-2024,Checkout,Drop-off,NULL
745,44,1,15-06-2023,Homepage,Click,115
746,32,20,25-08-2024,Homepage,View,127
747,61,10,28-12-2025,Homepage,View,184
748,10,16,16-11-2023,Homepage,View,246
749,86,17,18-06-2023,Checkout,Drop-off,NULL
750,26,8,19-02-2025,Checkout,Drop-off,NULL
751,39,3,20-05-2024,Checkout,Drop-off,NULL
752,71,20,29-06-2024,Homepage,View,178
753,62,5,05-09-2025,Homepage,View,84
754,23,2,17-08-2025,Homepage,View,168
755,87,4,15-07-2023,ProductPage,View,111
756,13,3,20-08-2024,Checkout,Drop-off,NULL
757,65,4,04-07-2025,Homepage,View,153
758,39,19,07-06-2024,Checkout,Drop-off,NULL
759,25,19,31-10-2024,ProductPage,View,87
760,14,3,22-04-2024,ProductPage,View,227
761,68,11,06-08-2025,Checkout,Drop-off,NULL
762,1,19,07-06-2024,Checkout,Drop-off,NULL
763,84,7,10-05-2023,ProductPage,View,15
764,28,6,28-07-2023,Homepage,View,271
765,70,3,28-05-2024,ProductPage,View,87
766,15,7,04-07-2025,Checkout,Drop-off,NULL
767,32,20,13-06-2024,homepage,View,191
768,70,19,20-12-2025,checkout,Drop-off,NULL
769,60,5,21-03-2025,Homepage,View,12
770,62,1,02-02-2025,Homepage,Click,113
771,67,10,11-12-2024,productpage,Drop-off,NULL
772,45,12,22-05-2024,ProductPage,View,252
773,28,10,10-02-2025,ProductPage,View,102
774,76,3,23-09-2024,Checkout,Drop-off,NULL
775,75,4,10-07-2023,ProductPage,View,224
776,83,16,21-07-2025,Checkout,Drop-off,NULL
777,81,17,08-06-2024,Homepage,View,210
778,25,10,19-02-2025,ProductPage,View,264
779,18,1,29-02-2024,Homepage,Click,113
780,67,4,03-01-2024,ProductPage,Click,131
781,99,2,14-07-2024,Homepage,Click,233
782,94,7,10-07-2024,Homepage,View,230
783,76,6,08-02-2025,Homepage,View,22
784,96,16,20-09-2024,Homepage,View,13
785,21,14,31-03-2024,Checkout,Drop-off,NULL
786,38,8,04-01-2024,Checkout,Drop-off,NULL
787,13,2,23-03-2024,ProductPage,View,118
788,96,13,01-11-2025,Checkout,Drop-off,NULL
789,12,7,22-10-2023,Homepage,Click,246
790,81,9,03-12-2023,Homepage,Click,187
791,69,5,14-06-2025,Homepage,View,111
792,72,4,29-12-2024,Homepage,View,294
793,22,13,24-09-2025,Homepage,View,238
794,57,7,14-09-2025,Checkout,Drop-off,NULL
795,64,1,13-01-2023,Homepage,View,118
796,34,14,06-06-2024,ProductPage,View,277
797,85,10,31-10-2023,Checkout,Drop-off,NULL
798,38,18,30-11-2023,Checkout,Drop-off,NULL
799,95,8,26-05-2024,Homepage,View,204
800,97,1,05-04-2023,Checkout,Drop-off,NULL
801,42,17,02-03-2025,ProductPage,View,282
802,61,8,06-05-2025,Homepage,View,257
803,79,9,07-10-2025,ProductPage,View,292
804,69,1,02-10-2024,ProductPage,View,226
805,99,7,21-12-2024,Homepage,View,137
806,39,15,05-11-2025,ProductPage,View,166
807,8,16,07-06-2024,Homepage,Click,94
808,24,16,30-04-2025,ProductPage,Click,276
809,27,17,06-05-2025,Checkout,Purchase,196
810,37,18,26-12-2023,ProductPage,View,87
811,30,6,18-08-2024,Homepage,View,55
812,49,9,26-11-2023,Homepage,View,191
813,23,1,06-04-2023,Checkout,Drop-off,NULL
814,53,10,11-07-2025,Homepage,Click,63
815,100,10,18-07-2023,Checkout,Purchase,167
816,1,20,17-12-2023,Homepage,Click,71
817,98,2,23-12-2024,checkout,Purchase,46
818,80,3,24-04-2023,Homepage,View,206
819,24,9,25-01-2025,Homepage,Click,144
820,19,1,24-03-2024,Homepage,Click,90
821,96,12,28-07-2024,Checkout,Purchase,82
822,84,12,19-05-2025,Homepage,Click,211
823,95,10,18-01-2024,Checkout,Purchase,279
824,73,4,03-04-2025,ProductPage,View,130
825,22,4,31-10-2025,ProductPage,View,80
826,18,4,23-10-2024,ProductPage,View,27
827,78,20,23-10-2024,ProductPage,View,68
828,84,3,09-04-2025,Checkout,Drop-off,NULL
829,8,8,21-03-2023,Homepage,Click,295
830,61,19,27-04-2024,Homepage,Click,223
831,42,3,17-02-2025,Homepage,View,257
832,2,15,26-11-2023,ProductPage,View,14
833,10,13,07-09-2024,Homepage,View,223
834,79,15,19-10-2024,ProductPage,View,12
835,87,1,30-09-2024,ProductPage,View,84
836,54,8,22-02-2025,ProductPage,View,94
837,64,10,02-10-2025,Homepage,Click,233
838,82,13,05-01-2023,ProductPage,Click,267
839,40,4,13-08-2023,Homepage,View,59
840,70,17,10-04-2025,ProductPage,View,231
841,27,6,18-10-2025,ProductPage,View,244
842,34,9,30-01-2025,Homepage,View,39
843,12,10,08-08-2023,ProductPage,View,30
844,82,16,09-08-2023,ProductPage,View,162
845,68,20,05-08-2025,Homepage,Click,236
846,43,10,21-03-2024,Homepage,View,99
847,47,10,20-08-2025,Checkout,Drop-off,NULL
848,83,16,03-01-2024,Checkout,Drop-off,NULL
849,21,15,27-09-2025,Homepage,View,177
850,5,15,04-08-2023,ProductPage,View,87
851,88,10,10-08-2023,Homepage,View,195
852,12,9,14-10-2024,checkout,Drop-off,NULL
853,69,12,02-11-2024,ProductPage,View,91
854,59,8,12-08-2023,ProductPage,View,40
855,96,1,20-02-2025,Homepage,View,129
856,77,5,09-12-2024,Homepage,View,75
857,51,13,18-07-2023,checkout,Drop-off,NULL
858,25,7,12-06-2023,Checkout,Drop-off,NULL
859,27,4,11-07-2023,homepage,Click,249
860,37,8,29-04-2025,Checkout,Drop-off,NULL
861,86,4,18-12-2024,Homepage,View,200
862,46,9,05-07-2024,Homepage,View,269
863,43,6,13-08-2023,ProductPage,View,208
864,89,19,28-06-2023,Checkout,Drop-off,NULL
865,78,1,19-06-2023,ProductPage,View,65
866,17,19,01-01-2024,Homepage,View,204
867,10,4,11-01-2024,Homepage,View,219
868,29,4,25-11-2025,Homepage,Click,41
869,81,6,13-11-2023,ProductPage,Click,87
870,16,16,21-08-2025,ProductPage,Click,35
871,60,19,21-07-2024,ProductPage,Click,57
872,85,19,05-11-2024,ProductPage,Click,61
873,52,15,04-04-2023,ProductPage,Click,74
874,20,4,17-12-2024,Checkout,Purchase,296
875,90,17,25-01-2023,Checkout,Drop-off,NULL
876,32,17,04-02-2025,Homepage,View,211
877,2,14,14-11-2025,Checkout,Drop-off,NULL
878,68,7,14-06-2023,ProductPage,View,67
879,64,15,20-03-2023,checkout,Drop-off,NULL
880,85,2,18-05-2023,Homepage,Click,93
881,97,9,16-03-2024,Checkout,Purchase,180
882,54,16,28-11-2023,ProductPage,View,56
883,34,20,01-04-2023,ProductPage,View,276
884,49,19,30-01-2025,Checkout,Drop-off,NULL
885,76,4,04-08-2025,Checkout,Drop-off,NULL
886,48,9,26-02-2023,Homepage,View,237
887,62,7,23-01-2023,Checkout,Drop-off,NULL
888,20,8,04-09-2025,ProductPage,View,123
889,87,5,13-09-2024,Homepage,View,27
890,92,10,13-09-2023,Homepage,Click,259
891,58,17,26-02-2025,Homepage,View,182
892,32,11,17-06-2024,Homepage,View,118
893,53,12,26-03-2025,ProductPage,View,176
894,63,2,20-08-2024,Homepage,Click,193
895,27,13,05-10-2025,Homepage,View,232
896,8,16,26-06-2023,productpage,View,273
897,19,1,07-05-2024,Homepage,View,236
898,94,15,14-10-2025,Homepage,Click,95
899,44,9,05-10-2024,Checkout,Purchase,170
900,68,9,01-05-2023,Homepage,View,119
901,95,20,11-05-2023,Checkout,Drop-off,NULL
902,57,8,08-09-2023,Homepage,View,159
903,38,13,03-07-2024,Homepage,View,270
904,50,8,13-06-2023,Homepage,Click,200
905,92,6,04-10-2024,Homepage,View,97
906,55,1,04-05-2024,Homepage,View,89
907,28,17,30-11-2025,ProductPage,View,180
908,45,7,12-07-2023,ProductPage,View,107
909,55,12,20-11-2023,Checkout,Drop-off,NULL
910,85,11,26-09-2023,ProductPage,View,33
911,57,20,23-01-2023,Homepage,View,209
912,51,15,08-03-2025,Homepage,Click,176
913,60,12,16-04-2025,Homepage,View,265
914,53,16,30-12-2024,Checkout,Drop-off,NULL
915,69,18,16-07-2025,ProductPage,View,276
916,49,18,29-10-2024,Homepage,Click,187
917,4,19,08-10-2023,ProductPage,Click,55
918,92,9,19-01-2024,Checkout,Drop-off,NULL
919,24,3,10-07-2024,ProductPage,View,158
920,20,11,04-12-2025,Checkout,Drop-off,NULL
921,57,10,28-01-2025,homepage,View,156
922,4,4,02-08-2024,ProductPage,View,178
923,68,9,03-06-2023,Homepage,Click,288
924,35,20,27-04-2023,Homepage,Click,70
925,36,7,10-07-2024,Homepage,View,82
926,20,1,27-01-2024,Homepage,Click,79
927,87,6,12-07-2025,Homepage,Click,295
928,73,4,19-01-2025,ProductPage,Click,17
929,79,19,01-03-2023,Homepage,View,218
930,36,7,06-09-2023,ProductPage,View,149
931,88,2,14-11-2023,Homepage,View,194
932,72,7,03-05-2025,Homepage,Click,98
933,67,1,02-12-2024,ProductPage,Click,237
934,47,20,02-08-2023,ProductPage,Click,85
935,48,3,02-07-2025,ProductPage,Click,55
936,43,11,27-07-2023,ProductPage,Click,52
937,87,4,24-08-2025,Homepage,Click,61
938,88,18,24-09-2024,ProductPage,Click,187
939,28,14,04-02-2024,ProductPage,Click,226
940,84,18,21-01-2023,Homepage,View,286
941,83,5,16-04-2023,Homepage,View,125
942,59,14,26-02-2023,Checkout,Drop-off,NULL
943,81,4,19-03-2024,Checkout,Drop-off,NULL
944,79,11,30-05-2023,ProductPage,View,79
945,79,5,07-12-2024,ProductPage,View,261
946,55,7,20-04-2024,homepage,Click,224
947,98,3,15-01-2024,productpage,Click,38
948,30,7,24-03-2025,ProductPage,Click,27
949,54,19,07-01-2025,Homepage,Click,138
950,35,14,07-04-2023,Checkout,Purchase,171
951,36,13,17-05-2024,Checkout,Drop-off,NULL
952,6,11,05-02-2024,Checkout,Drop-off,NULL
953,59,9,28-09-2024,Homepage,View,136
954,79,17,15-05-2024,Homepage,Click,16
955,33,19,08-05-2025,Checkout,Purchase,260
956,90,12,13-01-2025,ProductPage,View,62
957,98,15,07-08-2023,ProductPage,View,219
958,44,6,26-04-2023,Homepage,Click,235
959,21,4,12-07-2023,Homepage,View,16
960,60,1,09-02-2025,Checkout,Drop-off,NULL
961,69,8,19-11-2024,ProductPage,View,278
962,34,18,09-06-2024,Homepage,Click,211
963,50,11,23-08-2024,Checkout,Purchase,114
964,20,2,10-12-2024,ProductPage,View,140
965,13,14,07-12-2023,Checkout,Drop-off,NULL
966,62,6,04-01-2025,Checkout,Drop-off,NULL
967,60,9,07-06-2023,Checkout,Drop-off,NULL
968,45,9,20-06-2024,Homepage,Click,10
969,48,11,28-02-2024,Checkout,Purchase,174
970,22,19,19-08-2023,Homepage,View,199
971,100,14,20-09-2024,ProductPage,View,100
972,100,9,28-02-2023,Checkout,Drop-off,NULL
973,91,7,04-08-2024,Homepage,View,82
974,61,5,21-06-2025,Homepage,Click,138
975,25,18,18-08-2025,Homepage,Click,134
976,76,5,05-07-2023,Homepage,View,187
977,58,4,22-01-2023,ProductPage,View,294
978,59,13,07-09-2025,Checkout,Drop-off,NULL
979,30,8,20-04-2023,Homepage,Click,13
980,95,7,11-02-2023,Checkout,Purchase,119
981,63,14,01-10-2023,Homepage,View,292
982,33,20,30-05-2023,Homepage,Click,78
983,76,7,21-08-2024,productpage,Click,154
984,57,14,01-01-2024,homepage,Click,200
985,20,3,13-01-2025,ProductPage,Click,283
986,65,12,13-04-2024,ProductPage,Click,141
987,19,10,03-08-2024,Homepage,View,227
988,39,5,18-03-2025,Homepage,Click,296
989,77,19,26-10-2025,ProductPage,Click,157
990,82,8,03-03-2024,Homepage,View,120
991,11,4,22-10-2023,ProductPage,View,273
992,84,15,27-01-2024,ProductPage,View,49
993,44,16,19-06-2023,Homepage,Click,153
994,93,3,09-03-2024,Homepage,View,288
995,8,17,29-09-2025,ProductPage,View,135
996,54,4,18-12-2023,Homepage,Click,197
997,88,1,20-02-2024,ProductPage,Click,84
998,38,19,11-11-2023,Homepage,View,127
999,41,17,23-11-2024,ProductPage,View,290
1000,69,8,22-11-2023,Homepage,Click,272
1001,78,2,19-08-2023,ProductPage,Click,108
1002,91,3,02-02-2024,Homepage,Click,291
1003,86,13,28-03-2024,Homepage,Click,64
1004,7,15,10-05-2024,Homepage,View,23
1005,61,11,04-04-2023,Checkout,Drop-off,NULL
1006,70,6,05-08-2024,ProductPage,View,163
1007,36,4,18-08-2025,Homepage,View,21
1008,4,11,01-02-2024,Homepage,Click,219
1009,12,19,29-03-2025,Checkout,Drop-off,NULL
1010,94,3,07-05-2025,Checkout,Drop-off,NULL
1011,98,17,03-07-2023,ProductPage,View,180
1012,39,6,01-04-2024,ProductPage,View,118
1013,21,20,15-04-2023,ProductPage,View,201
1014,95,20,28-02-2024,Homepage,Click,175
1015,8,11,14-01-2024,Checkout,Purchase,98
1016,47,20,19-01-2025,Homepage,View,181
1017,89,5,07-05-2025,ProductPage,View,161
1018,32,15,25-09-2025,Checkout,Drop-off,NULL
1019,22,14,20-07-2025,Homepage,View,100
1020,78,13,30-09-2023,ProductPage,View,37
1021,90,19,01-11-2023,Checkout,Drop-off,NULL
1022,52,12,08-11-2025,Homepage,View,64
1023,61,4,27-01-2024,ProductPage,View,265
1024,77,8,29-03-2024,Homepage,View,55
1025,53,13,03-12-2025,Checkout,Drop-off,NULL
1026,70,16,14-02-2023,ProductPage,View,109
1027,44,9,12-06-2023,Homepage,View,76
1028,38,13,28-10-2023,Homepage,View,122
1029,32,2,04-08-2023,ProductPage,View,149
1030,60,20,20-04-2024,ProductPage,View,201
1031,87,13,18-04-2023,Checkout,Drop-off,NULL
1032,82,14,28-05-2024,Homepage,Click,244
1033,75,11,14-08-2024,ProductPage,Click,234
1034,53,3,28-10-2024,ProductPage,Click,72
1035,82,6,19-08-2024,Homepage,Click,124
1036,22,7,11-04-2023,ProductPage,Click,30
1037,35,10,02-08-2024,Checkout,Purchase,289
1038,71,2,05-11-2025,ProductPage,View,208
1039,68,10,09-09-2024,Checkout,Drop-off,NULL
1040,83,9,15-05-2023,Checkout,Drop-off,NULL
1041,38,9,16-09-2024,ProductPage,View,34
1042,36,12,27-10-2025,Homepage,Click,246
1043,31,2,11-09-2025,Checkout,Purchase,249
1044,37,10,17-01-2024,ProductPage,View,251
1045,95,12,14-07-2024,Checkout,Drop-off,NULL
1046,64,5,09-03-2024,ProductPage,View,271
1047,92,18,21-02-2023,ProductPage,View,98
1048,71,16,09-06-2023,Checkout,Drop-off,NULL
1049,50,17,02-02-2025,Homepage,View,245
1050,67,12,22-06-2023,ProductPage,View,72
1051,97,15,01-12-2025,Homepage,View,268
1052,58,13,16-06-2024,ProductPage,View,299
1053,29,12,02-02-2025,Homepage,View,251
1054,30,10,18-11-2023,ProductPage,View,110
1055,8,4,29-12-2024,ProductPage,View,133
1056,12,15,31-03-2025,ProductPage,View,145
1057,96,13,12-01-2023,Homepage,Click,187
1058,19,13,15-03-2023,Homepage,Click,178
1059,30,12,19-01-2023,ProductPage,Click,128
1060,8,13,29-03-2023,Homepage,Click,264
1061,56,10,28-09-2024,Homepage,View,105
1062,13,2,14-12-2025,Homepage,Click,21
1063,44,18,03-01-2024,Checkout,Purchase,208
1064,28,17,02-08-2025,Checkout,Drop-off,NULL
1065,44,1,21-03-2024,Homepage,Click,81
1066,37,6,30-08-2024,Homepage,View,232
1067,77,15,05-01-2025,ProductPage,View,122
1068,60,16,08-10-2025,Homepage,Click,136
1069,73,16,26-06-2024,Checkout,Purchase,56
1070,88,8,02-03-2024,Homepage,View,206
1071,79,5,28-10-2025,Checkout,Drop-off,NULL
1072,28,1,04-06-2023,ProductPage,View,149
1073,28,16,04-10-2024,Homepage,View,285
1074,44,9,31-12-2024,Homepage,Click,93
1075,14,18,20-07-2023,Homepage,Click,186
1076,28,9,31-07-2024,ProductPage,Click,63
1077,6,1,13-03-2025,Homepage,Click,140
1078,29,8,30-07-2024,Homepage,View,163
1079,67,12,10-02-2024,Homepage,View,280
1080,70,20,01-03-2023,ProductPage,View,216
1081,32,9,21-03-2025,Homepage,View,124
1082,92,19,25-07-2023,Checkout,Drop-off,NULL
1083,25,10,29-01-2025,Homepage,Click,173
1084,77,3,02-07-2023,ProductPage,Click,250
1085,6,3,09-12-2025,Homepage,Click,139
1086,4,16,15-08-2024,ProductPage,Click,74
1087,65,4,07-04-2025,Homepage,View,133
1088,80,9,12-06-2023,Checkout,Drop-off,NULL
1089,18,18,27-09-2024,Checkout,Drop-off,NULL
1090,93,10,04-04-2025,Homepage,View,117
1091,48,11,22-02-2025,ProductPage,View,20
1092,95,16,01-02-2023,ProductPage,View,92
1093,92,3,25-04-2024,homepage,Click,29
1094,79,6,02-08-2023,Homepage,View,23
1095,26,10,12-01-2025,Checkout,Drop-off,NULL
1096,70,15,04-04-2023,Homepage,Click,225
1097,89,8,23-05-2023,Homepage,View,132
1098,57,18,03-08-2025,Checkout,Drop-off,NULL
1099,33,19,08-08-2025,Checkout,Drop-off,NULL
1100,79,1,10-02-2023,Checkout,Drop-off,NULL
1101,49,9,01-09-2023,Checkout,Drop-off,NULL
1102,95,5,25-02-2025,ProductPage,View,107
1103,52,6,17-08-2025,ProductPage,View,244
1104,80,2,02-06-2024,Homepage,View,143
1105,36,11,03-02-2023,Homepage,View,150
1106,100,7,25-03-2024,Checkout,Drop-off,NULL
1107,20,8,19-08-2025,ProductPage,View,63
1108,10,20,25-07-2024,ProductPage,View,252
1109,5,14,29-12-2024,ProductPage,View,205
1110,17,19,23-12-2023,Homepage,Click,275
1111,5,17,25-03-2023,Homepage,View,164
1112,79,11,11-04-2023,ProductPage,View,70
1113,12,17,18-09-2024,ProductPage,View,291
1114,41,12,18-05-2023,Homepage,View,174
1115,91,13,20-04-2024,homepage,Click,288
1116,41,12,21-08-2023,Homepage,Click,46
1117,27,4,03-03-2024,Homepage,Click,155
1118,84,20,16-07-2024,ProductPage,Click,175
1119,45,16,04-11-2025,ProductPage,Click,206
1120,34,1,16-07-2025,Homepage,View,233
1121,84,4,16-07-2025,Homepage,View,22
1122,69,4,03-10-2025,Homepage,Click,54
1123,4,10,22-10-2024,Homepage,Click,236
1124,67,7,06-09-2025,Checkout,Purchase,83
1125,59,18,04-01-2024,ProductPage,View,202
1126,62,6,11-12-2024,Homepage,View,236
1127,69,3,25-12-2024,Homepage,Click,277
1128,84,18,06-01-2024,Checkout,Purchase,18
1129,13,13,06-10-2024,Checkout,Drop-off,NULL
1130,71,13,18-03-2025,Homepage,Click,231
1131,29,1,02-02-2025,ProductPage,Click,227
1132,88,16,07-04-2023,ProductPage,Click,247
1133,36,1,26-01-2025,ProductPage,Click,87
1134,27,12,08-03-2025,Homepage,View,63
1135,36,7,17-12-2024,Checkout,Drop-off,NULL
1136,25,16,11-04-2024,ProductPage,View,124
1137,30,19,17-04-2024,Checkout,Drop-off,NULL
1138,44,19,24-04-2024,Homepage,View,188
1139,45,14,20-01-2023,Homepage,View,250
1140,24,20,07-12-2023,Checkout,Drop-off,NULL
1141,69,12,31-05-2024,homepage,View,14
1142,73,14,29-05-2023,Homepage,View,96
1143,97,11,17-11-2024,Checkout,Drop-off,NULL
1144,50,2,05-03-2023,Homepage,View,46
1145,85,17,19-10-2025,Homepage,View,236
1146,72,3,12-09-2025,ProductPage,View,141
1147,78,11,28-07-2025,Homepage,View,37
1148,92,1,26-02-2025,ProductPage,View,130
1149,47,5,09-08-2023,homepage,Click,196
1150,44,2,13-03-2024,Homepage,View,93
1151,63,3,19-06-2023,Homepage,View,42
1152,20,10,25-08-2023,Homepage,View,166
1153,81,2,03-01-2024,ProductPage,View,171
1154,54,7,27-08-2023,ProductPage,View,203
1155,91,15,07-08-2023,ProductPage,View,64
1156,48,1,16-02-2023,Homepage,Click,182
1157,98,16,21-08-2024,ProductPage,Click,110
1158,29,8,02-09-2025,Homepage,Click,268
1159,11,12,19-04-2023,Homepage,Click,20
1160,25,15,03-03-2025,Checkout,Purchase,124
1161,66,20,26-06-2024,ProductPage,View,267
1162,94,19,01-05-2024,ProductPage,View,44
1163,50,6,05-09-2024,Homepage,Click,11
1164,68,7,24-11-2023,ProductPage,Click,300
1165,24,8,03-03-2023,Homepage,Click,203
1166,83,19,20-02-2024,Checkout,Purchase,69
1167,85,1,10-03-2025,Homepage,View,13
1168,89,3,07-05-2023,Homepage,View,279
1169,25,11,31-07-2024,Checkout,Drop-off,NULL
1170,78,3,07-07-2025,ProductPage,View,299
1171,55,8,27-10-2023,ProductPage,View,272
1172,31,18,13-09-2024,Homepage,View,129
1173,58,7,16-07-2025,ProductPage,View,282
